element,n_valid,R2_baseline_mean,R2_ridge_5bands,R2_GBR_random_kfold,R2_GBR_spatial_cv,inflation_spatial,perm_true_R2,perm_mean_R2,perm_max_R2,p_value_perm,R2_mixup_before_split,R2_no_aug,mixup_inflation
N_%,97,0.0000,0.1409,-0.0711,-0.1028,0.0317,-0.0711,-0.3600,-0.0305,0.0101,0.4758,-0.0711,0.5469
P_%,97,0.0000,-0.1835,0.0919,-0.0234,0.1153,0.0919,-0.3666,0.0341,0.0000,0.5874,0.0919,0.4955
K_%,97,0.0000,-0.2618,-0.1067,-0.1655,0.0588,-0.1067,-0.3458,0.0581,0.0302,0.5344,-0.1067,0.6411
Ca_%,97,0.0000,-0.0155,-0.3034,-0.1392,-0.1642,-0.3034,-0.3434,0.1391,0.4121,0.2934,-0.3034,0.5968
Mg_%,97,0.0000,-0.2037,-0.3009,-0.2118,-0.0891,-0.3009,-0.3671,0.0681,0.3668,0.3463,-0.3009,0.6472
S_%,97,0.0000,0.0138,-0.0915,-0.1489,0.0574,-0.0915,-0.3566,0.0215,0.0402,0.4787,-0.0915,0.5702
Нитраты_мг_кг,96,0.0000,-0.0821,-0.1302,-0.2541,0.1239,-0.1302,-0.4591,0.1134,0.0402,0.3626,-0.1302,0.4928
Fe_мг_кг,97,0.0000,-0.0755,-0.4723,-0.1518,-0.3205,-0.4723,-0.3692,0.1281,0.7638,0.4613,-0.4723,0.9336
Mn_мг_кг,97,0.0000,-0.0560,-0.0631,0.0763,-0.1394,-0.0631,-0.3904,-0.0124,0.0251,0.2833,-0.0631,0.3464
Cu_мг_кг,97,0.0000,-0.2304,-0.2391,-0.3652,0.1261,-0.2391,-0.3919,-0.0102,0.1859,0.5079,-0.2391,0.7470
Zn_мг_кг,97,0.0000,-0.0732,-0.1298,-0.3620,0.2322,-0.1298,-0.4163,-0.0111,0.0754,0.5961,-0.1298,0.7259
Co_мг_кг,46,0.0000,-0.0767,-0.5001,-0.4692,-0.0309,-0.5001,-0.4454,0.1043,0.6030,0.5100,-0.5001,1.0101
