index,n,pearson_r,pearson_p,pearson_r2,spearman_rho,spearman_p,kendall_tau,kendall_p,date
MSAVI2,100,-0.4253,0.0000,0.1809,-0.4411,0.0000,-0.3085,0.0000,date1
SIPI,100,0.4243,0.0000,0.1800,0.4302,0.0000,0.3032,0.0000,date1
TCARI,100,-0.4224,0.0000,0.1784,-0.4408,0.0000,-0.3162,0.0000,date1
MCARI,61,0.3344,0.0084,0.1119,0.1624,0.2112,0.1094,0.2132,date1
MCARI_OSAVI,61,0.3300,0.0094,0.1089,0.1369,0.2926,0.0919,0.2958,date1
SR,61,0.3215,0.0115,0.1034,0.1667,0.1991,0.1050,0.2321,date1
MCARI,97,0.2291,0.0240,0.0525,0.1262,0.2182,0.0830,0.2290,date1
MCARI_OSAVI,97,0.2259,0.0261,0.0510,0.1427,0.1632,0.0924,0.1802,date1
NGRDI,97,0.2217,0.0291,0.0491,0.1030,0.3152,0.0679,0.3247,date1
SRre,97,-0.2499,0.0135,0.0625,-0.2475,0.0145,-0.1605,0.0199,date2
CIre,97,-0.2499,0.0135,0.0625,-0.2475,0.0145,-0.1605,0.0199,date2
CRI700,97,-0.2441,0.0160,0.0596,-0.2707,0.0073,-0.1828,0.0080,date2
TCARI_OSAVI,100,0.2572,0.0098,0.0661,0.3081,0.0018,0.2124,0.0018,date1
Datt,97,-0.2408,0.0175,0.0580,-0.3938,0.0001,-0.2706,0.0001,date2
CCCI,97,-0.2284,0.0245,0.0522,-0.3314,0.0009,-0.2215,0.0014,date2
CCCI,97,0.3005,0.0028,0.0903,0.2222,0.0287,0.1477,0.0327,date2
Datt,97,0.2692,0.0077,0.0725,0.2403,0.0178,0.1620,0.0192,date2
MTCI,97,0.2461,0.0151,0.0606,0.2403,0.0178,0.1620,0.0192,date2
CCCI,97,0.3466,0.0005,0.1201,0.4560,0.0000,0.3128,0.0000,date2
Datt,97,0.2998,0.0028,0.0899,0.4592,0.0000,0.3133,0.0000,date2
CVI,97,0.2701,0.0075,0.0730,0.3689,0.0002,0.2569,0.0002,date2
CRI700,97,-0.2970,0.0031,0.0882,-0.3403,0.0006,-0.2311,0.0008,date2
ARI,97,-0.2873,0.0043,0.0825,-0.3361,0.0008,-0.2264,0.0010,date2
BGI,100,0.2843,0.0041,0.0808,0.3024,0.0022,0.2124,0.0018,date1
CCCI,97,-0.3321,0.0009,0.1103,-0.3794,0.0001,-0.2664,0.0002,date2
Datt,97,-0.3094,0.0020,0.0957,-0.3882,0.0001,-0.2756,0.0001,date2
MCARI_OSAVI,97,0.3035,0.0025,0.0921,0.2608,0.0099,0.1882,0.0074,date2
SRPI,100,0.2147,0.0320,0.0461,0.1037,0.3046,0.0653,0.3483,date1
NPCI,100,-0.2096,0.0363,0.0439,-0.1037,0.3046,-0.0653,0.3483,date1
SRPI,97,0.1766,0.0835,0.0312,0.0251,0.8073,0.0211,0.7663,date2
ARI,97,-0.2297,0.0236,0.0527,-0.3555,0.0004,-0.2485,0.0003,date2
RTVIcore,97,0.2212,0.0295,0.0489,-0.1223,0.2326,-0.0840,0.2241,date2
NPCI,100,-0.2191,0.0285,0.0480,-0.1299,0.1978,-0.0931,0.1707,date1
SRPI,96,0.2214,0.0302,0.0490,-0.0372,0.7189,-0.0245,0.7253,date2
NPCI,96,-0.2043,0.0459,0.0417,0.0372,0.7189,0.0245,0.7253,date2
TCARI_OSAVI,100,0.1891,0.0596,0.0357,0.1765,0.0789,0.1075,0.1144,date1
