element,short_name,n_valid,buffer_m,best_model,R2,R2_ci_lo,R2_ci_hi,RMSE,MAE,RPD,p_perm,significant,perm_mean_R2,n_predicted,category
N_%,N,197,30,ET,0.3979,0.2510,0.5158,0.5019,0.3783,1.2887,,,,197,Незначимая (R²>0)
S_%,S,197,55,ET,0.3428,0.1941,0.4667,0.0510,0.0379,1.2336,,,,197,Незначимая (R²>0)
Ca_%,Ca,197,30,ElasticNet,0.2762,0.1267,0.3901,0.1341,0.1036,1.1754,,,,197,Незначимая (R²>0)
P_%,P,197,100,RF,0.0625,-0.0729,0.1889,0.0691,0.0552,1.0328,,,,197,Незначимая (R²>0)
Cu_мг_кг,Cu,194,30,RF,0.0525,-0.0723,0.1731,2.2610,1.6374,1.0273,,,,194,Незначимая (R²>0)
Zn_мг_кг,Zn,197,31,ElasticNet,0.0458,-0.1030,0.1409,14.2607,8.6489,1.0237,,,,197,Незначимая (R²>0)
Mg_%,Mg,197,30,RF,0.0321,-0.1237,0.1775,0.0886,0.0630,1.0164,,,,197,Незначимая (R²>0)
K_%,K,197,86,XGB,0.0043,-0.1472,0.1490,0.6861,0.5521,1.0022,,,,197,Незначимая (R²>0)
Нитраты_мг_кг,NO₃,196,30,LGB,0.0008,-0.1714,0.1725,2722.4626,1882.2735,1.0004,,,,196,Незначимая (R²>0)
Fe_мг_кг,Fe,197,100,RF,-0.0015,-0.1316,0.1118,131.6463,94.8539,0.9992,,,,197,Нет сигнала
Mn_мг_кг,Mn,197,100,RF,-0.2032,-0.4066,-0.0054,20.3924,13.9096,0.9117,,,,197,Нет сигнала
Co_мг_кг,Co,107,76,ElasticNet,-0.2887,-0.4609,-0.1482,0.5841,0.4520,0.8809,,,,107,Нет сигнала
