element,model,feature_set,R2_before,R2_after,delta,RMSE,RPD,best_params
Ca_%,ElasticNet,multi,-0.0158,0.0942,0.1100,0.1572,1.0500,"{'alpha': 0.1, 'l1_ratio': 0.1}"
Ca_%,SVR,multi,-0.0185,0.0374,0.0559,0.1621,1.0200,"{'C': 0.1, 'epsilon': 0.01, 'kernel': 'rbf'}"
Ca_%,ElasticNet,multi,-0.0245,0.0150,0.0395,0.0855,1.0100,"{'alpha': 0.01, 'l1_ratio': 0.9}"
Co_мг_кг,RF,multi,0.0893,0.0507,-0.0386,0.5666,1.0300,"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 100}"
Co_мг_кг,GBR,multi,0.0398,0.0621,0.0223,0.5632,1.0300,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300}"
Co_мг_кг,ElasticNet,multi,-0.0115,0.0130,0.0245,0.5777,1.0100,"{'alpha': 0.1, 'l1_ratio': 0.5}"
Cu_мг_кг,ElasticNet,multi,-0.0160,-0.0174,-0.0014,2.5896,0.9900,"{'alpha': 1.0, 'l1_ratio': 0.9}"
Cu_мг_кг,ElasticNet,multi,-0.0180,-0.0180,0.0000,1.7217,0.9900,"{'alpha': 1.0, 'l1_ratio': 0.5}"
Cu_мг_кг,SVR,multi,-0.0310,0.0184,0.0494,1.6907,1.0100,"{'C': 1, 'epsilon': 0.5, 'kernel': 'rbf'}"
Fe_мг_кг,SVR,multi,-0.0744,-0.0675,0.0069,139.3923,0.9700,"{'C': 0.1, 'epsilon': 0.5, 'kernel': 'rbf'}"
Fe_мг_кг,SVR,multi,-0.0839,-0.0812,0.0027,90.7800,0.9600,"{'C': 0.1, 'epsilon': 0.01, 'kernel': 'rbf'}"
Fe_мг_кг,ElasticNet,multi,-0.1018,-0.0897,0.0121,91.1353,0.9600,"{'alpha': 1.0, 'l1_ratio': 0.1}"
K_%,SVR,multi,0.0658,0.1734,0.1076,0.5148,1.1000,"{'C': 1, 'epsilon': 0.5, 'kernel': 'rbf'}"
K_%,XGBoost,multi,0.0159,0.1371,0.1212,0.5260,1.0800,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}"
K_%,ElasticNet,multi,-0.0185,0.0050,0.0235,0.7149,1.0000,"{'alpha': 0.1, 'l1_ratio': 0.9}"
Mg_%,ElasticNet,multi,-0.0211,-0.0207,0.0004,0.1103,0.9900,"{'alpha': 0.1, 'l1_ratio': 0.1}"
Mg_%,SVR,multi,-0.0663,0.0249,0.0912,0.1078,1.0100,"{'C': 0.1, 'epsilon': 0.1, 'kernel': 'rbf'}"
Mg_%,ElasticNet,multi,-0.0719,-0.0938,-0.0219,0.0435,0.9600,"{'alpha': 0.1, 'l1_ratio': 0.1}"
Mn_мг_кг,GBR,multi,0.0550,0.1422,0.0872,10.9607,1.0800,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}"
Mn_мг_кг,RF,multi,0.0453,0.1817,0.1364,10.7056,1.1100,"{'max_depth': None, 'min_samples_leaf': 10, 'n_estimators': 500}"
Mn_мг_кг,ElasticNet,multi,0.0155,0.0155,0.0000,23.0747,1.0100,"{'alpha': 1.0, 'l1_ratio': 0.5}"
N_%,SVR,multi,0.0977,0.0467,-0.0510,0.5328,1.0200,"{'C': 0.1, 'epsilon': 0.5, 'kernel': 'linear'}"
N_%,RF,multi,-0.0116,-0.0006,0.0110,0.4239,1.0000,"{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 300}"
N_%,ElasticNet,multi,-0.0250,0.1113,0.1363,0.5145,1.0600,"{'alpha': 0.1, 'l1_ratio': 0.1}"
P_%,GBR,multi,0.0912,0.1485,0.0573,0.0585,1.0800,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}"
P_%,RF,multi,0.0823,0.1413,0.0590,0.0587,1.0800,"{'max_depth': None, 'min_samples_leaf': 10, 'n_estimators': 500}"
P_%,SVR,multi,0.0660,0.1754,0.1094,0.0575,1.1000,"{'C': 0.1, 'epsilon': 0.01, 'kernel': 'rbf'}"
S_%,RF,multi,0.0355,0.0127,-0.0228,0.0425,1.0100,"{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 100}"
S_%,GBR,multi,0.0134,0.0722,0.0588,0.0500,1.0400,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300}"
S_%,XGBoost,multi,-0.0048,0.0738,0.0786,0.0412,1.0400,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}"
Zn_мг_кг,SVR,multi,0.0809,0.0846,0.0037,5.1627,1.0500,"{'C': 10, 'epsilon': 0.5, 'kernel': 'rbf'}"
Zn_мг_кг,RF,multi,-0.0172,0.0029,0.0201,5.3883,1.0000,"{'max_depth': None, 'min_samples_leaf': 10, 'n_estimators': 100}"
Zn_мг_кг,ElasticNet,multi,-0.0360,-0.0360,0.0000,5.4923,0.9800,"{'alpha': 1.0, 'l1_ratio': 0.5}"
Нитраты_мг_кг,PLSR,multi,0.0129,0.0129,0.0000,2270.2894,1.0100,{'n_components': 10}
Нитраты_мг_кг,ElasticNet,multi,-0.0117,0.0332,0.0449,2246.7669,1.0200,"{'alpha': 0.01, 'l1_ratio': 0.9}"
Нитраты_мг_кг,ElasticNet,multi,-0.0553,-0.0553,0.0000,3198.5849,0.9700,"{'alpha': 1.0, 'l1_ratio': 0.5}"
